Date,store,product,base,number_sold,year
2017-01-01,0,0,831.9469079802439,850,2017
2017-01-02,0,0,832.8781482546593,839,2017
2017-01-03,0,0,833.8094504270261,838,2017
2017-01-04,0,0,834.7405253742027,835,2017
2017-01-05,0,0,835.6710835992149,835,2017
2017-01-06,0,0,836.6008353359947,822,2017
2017-01-07,0,0,837.5294906547001,832,2017
2017-01-08,0,0,838.4567595675593,824,2017
2017-01-09,0,0,839.3823521351866,849,2017
2017-01-10,0,0,840.3059785733119,839,2017
2017-01-11,0,0,841.2273493598711,832,2017
2017-01-12,0,0,842.1461753423952,862,2017
2017-01-13,0,0,843.0621678456463,854,2017
2017-01-14,0,0,843.9750387794384,832,2017
2017-01-15,0,0,844.884500746587,855,2017
2017-01-16,0,0,845.7902671509282,845,2017
2017-01-17,0,0,846.6920523053465,844,2017
2017-01-18,0,0,847.5895715397555,856,2017
2017-01-19,0,0,848.4825413089692,832,2017
2017-01-20,0,0,849.3706793004022,853,2017
2017-01-21,0,0,850.2537045415452,845,2017
2017-01-22,0,0,851.1313375071488,861,2017
2017-01-23,0,0,852.0033002260598,836,2017
2017-01-24,0,0,852.8693163876472,844,2017
2017-01-25,0,0,853.7291114477622,852,2017
2017-01-26,0,0,854.582412734165,834,2017
2017-01-27,0,0,855.4289495513663,845,2017
2017-01-28,0,0,856.2684532848186,842,2017
2017-01-29,0,0,857.1006575044016,854,2017
2017-01-30,0,0,857.9252980671387,857,2017
2017-01-31,0,0,858.7421132190907,874,2017
2017-02-01,0,0,859.5508436963644,854,2017
2017-02-02,0,0,860.3512328251812,851,2017
2017-02-03,0,0,861.1430266209474,849,2017
2017-02-04,0,0,861.9259738862684,868,2017
2017-02-05,0,0,862.6998263078531,858,2017
2017-02-06,0,0,863.4643385522525,866,2017
2017-02-07,0,0,864.2192683603757,849,2017
2017-02-08,0,0,864.9643766407326,876,2017
2017-02-09,0,0,865.6994275613483,858,2017
2017-02-10,0,0,866.4241886402972,864,2017
2017-02-11,0,0,867.1384308348065,870,2017
2017-02-12,0,0,867.8419286288768,862,2017
2017-02-13,0,0,868.5344601193735,870,2017
2017-02-14,0,0,869.2158071005364,876,2017
2017-02-15,0,0,869.8857551468656,848,2017
2017-02-16,0,0,870.5440936943309,878,2017
2017-02-17,0,0,871.1906161198667,857,2017
2017-02-18,0,0,871.8251198191037,888,2017
2017-02-19,0,0,872.4474062822965,875,2017
2017-02-20,0,0,873.0572811684049,878,2017
2017-02-21,0,0,873.6545543772911,852,2017
2017-02-22,0,0,874.2390401199917,879,2017
2017-02-23,0,0,874.8105569870277,879,2017
2017-02-24,0,0,875.3689280147171,878,2017
2017-02-25,0,0,875.9139807494563,892,2017
2017-02-26,0,0,876.4455473099349,869,2017
2017-02-27,0,0,876.9634644472532,878,2017
2017-02-28,0,0,877.4675736029153,888,2017
2017-03-01,0,0,877.957720964664,876,2017
2017-03-02,0,0,878.4337575201345,883,2017
2017-03-03,0,0,878.8955391082992,879,2017
2017-03-04,0,0,879.3429264686819,873,2017
2017-03-05,0,0,879.7757852883157,876,2017
2017-03-06,0,0,880.1939862464284,871,2017
2017-03-07,0,0,880.5974050568321,882,2017
2017-03-08,0,0,880.9859225080021,873,2017
2017-03-09,0,0,881.3594245008298,889,2017
2017-03-10,0,0,881.7178020840323,894,2017
2017-03-11,0,0,882.0609514872108,882,2017
2017-03-12,0,0,882.3887741515433,881,2017
2017-03-13,0,0,882.7011767581048,896,2017
2017-03-14,0,0,882.9980712538065,882,2017
