store,product,mean,std,min,q25,median,q75,max,variation_coefficient_pct,growth_2010_2018_pct,annual_difference_pct,peak_month,weekly_difference_pct
0,0,828.68,38.4,747,795.0,828.0,863.0,921,4.63,2.92,11.98,4,0.16
0,1,738.38,37.14,641,712.0,736.0,761.0,884,5.03,-13.17,9.02,1,1.98
0,2,940.48,51.14,814,895.0,941.0,986.0,1055,5.44,6.21,13.69,9,1.17
0,3,851.49,37.27,750,822.0,851.0,883.0,938,4.38,6.21,10.55,10,1.89
0,4,907.43,44.67,808,871.0,907.0,943.0,1020,4.92,2.59,12.11,12,4.63
0,5,912.76,19.66,841,902.0,914.0,926.0,976,2.15,6.39,2.79,12,1.11
0,6,871.71,21.48,809,855.0,872.0,888.0,938,2.46,-2.2,5.6,9,1.61
0,7,951.71,46.04,815,918.5,951.0,989.0,1066,4.84,9.73,10.91,10,1.06
0,8,644.73,36.34,546,627.0,640.0,654.0,773,5.64,-18.37,3.02,1,0.54
0,9,827.85,32.29,735,803.0,828.0,853.0,913,3.9,5.13,8.79,10,3.13
1,0,662.04,26.64,602,639.0,659.0,686.0,724,4.02,-6.42,0.35,7,0.43
1,1,764.66,52.65,624,726.0,765.0,803.0,897,6.89,-6.82,14.14,7,4.57
1,2,736.04,41.85,640,695.0,741.0,774.0,819,5.69,10.35,1.7,9,1.2
1,3,660.73,47.74,551,618.0,661.0,703.0,762,7.22,-2.78,18.48,4,2.85
1,4,721.08,27.86,649,701.0,721.0,741.0,801,3.86,-4.6,0.55,4,6.82
1,5,754.7,43.9,648,717.0,751.0,794.0,852,5.82,-9.11,3.87,6,2.81
1,6,700.74,39.79,610,670.0,699.0,732.0,798,5.68,-8.1,0.55,9,6.96
1,7,710.19,23.84,647,692.0,710.0,728.0,785,3.36,-2.51,7.28,9,0.96
1,8,721.09,43.0,621,687.0,720.0,755.5,818,5.96,4.2,14.55,4,0.28
1,9,765.37,31.04,674,744.0,765.0,788.0,848,4.06,5.22,6.38,4,2.94
2,0,755.22,26.71,673,736.0,755.0,774.0,831,3.54,7.55,6.17,4,0.64
2,1,878.25,23.03,818,860.0,878.0,896.0,941,2.62,2.7,6.03,12,0.49
2,2,734.72,29.76,663,710.0,732.0,758.0,811,4.05,12.38,1.52,12,0.58
2,3,743.44,31.52,673,717.0,743.0,770.0,827,4.24,1.02,10.65,10,2.52
2,4,871.13,30.17,794,850.0,871.0,893.0,952,3.46,0.48,6.84,12,5.9
2,5,859.81,34.29,775,833.0,858.0,886.0,953,3.99,11.14,3.98,12,2.2
2,6,784.92,43.9,675,749.0,785.0,820.5,897,5.59,7.04,13.57,10,1.49
2,7,940.01,43.8,845,904.0,936.0,976.0,1053,4.66,14.58,2.34,4,2.01
2,8,759.98,22.19,692,745.0,760.0,776.0,824,2.92,-5.02,5.34,4,0.7
2,9,840.7,29.5,771,815.0,841.0,865.0,920,3.51,2.29,8.6,9,0.97
3,0,293.13,13.54,244,284.0,293.0,302.0,339,4.62,-7.92,4.35,3,1.26
3,1,381.71,21.79,318,366.0,382.0,397.0,447,5.71,5.12,8.4,7,10.65
3,2,324.26,11.63,278,317.0,324.0,332.0,364,3.59,4.36,3.44,3,0.49
3,3,324.38,18.39,274,310.0,325.0,339.0,374,5.67,0.73,12.63,9,2.75
3,4,382.22,22.98,316,366.0,382.0,398.0,444,6.01,5.94,9.92,12,10.31
3,5,356.22,11.21,318,349.0,356.0,364.0,395,3.15,-2.05,0.91,2,3.39
3,6,364.65,23.73,301,348.0,365.0,382.0,434,6.51,-0.32,13.74,4,8.86
3,7,387.68,20.3,330,372.0,388.0,402.0,451,5.24,-3.44,4.78,3,11.12
3,8,286.71,14.36,238,277.0,286.0,296.0,339,5.01,-9.49,3.5,4,2.5
3,9,341.94,12.35,303,333.0,342.0,350.0,381,3.61,-3.95,4.04,3,2.46
4,0,912.22,16.42,863,901.0,910.0,923.0,974,1.8,1.45,0.28,9,0.16
4,1,986.98,24.66,926,968.0,982.0,1004.0,1066,2.5,2.11,0.55,7,1.21
4,2,985.79,42.26,883,956.0,985.0,1019.0,1093,4.29,-2.71,8.92,9,1.08
4,3,896.96,48.29,789,858.0,897.0,933.0,1023,5.38,2.47,12.43,10,1.25
4,4,973.91,34.22,883,948.0,974.0,1000.0,1059,3.51,-0.21,7.73,1,4.92
4,5,1037.89,29.17,942,1018.0,1042.0,1059.5,1107,2.81,-2.4,0.7,1,3.02
4,6,948.89,46.09,846,911.5,949.0,983.0,1081,4.86,2.06,11.33,10,1.95
4,7,1091.16,45.41,957,1059.0,1092.0,1125.0,1205,4.16,-2.04,8.58,4,3.95
4,8,998.08,11.33,962,990.0,998.0,1006.0,1044,1.14,-0.05,1.37,3,0.41
4,9,909.98,41.98,821,878.0,910.0,936.0,1042,4.61,3.11,8.7,10,0.64
5,0,824.94,38.01,731,797.0,824.0,852.0,924,4.61,3.21,9.25,9,0.69
5,1,928.21,23.37,855,911.0,928.0,944.0,996,2.52,1.78,3.54,12,3.03
5,2,834.66,55.51,738,783.0,828.0,888.0,949,6.65,7.1,0.46,3,0.2
5,3,883.33,78.9,709,823.0,885.0,939.0,1065,8.93,7.15,16.22,4,1.79
5,4,975.86,45.98,850,941.0,978.0,1012.0,1097,4.71,-4.44,5.1,7,4.43
5,5,823.0,40.69,741,788.0,819.0,859.0,914,4.94,5.1,2.57,12,1.09
5,6,1002.88,79.49,834,935.0,1003.0,1070.0,1160,7.93,-3.48,19.82,4,0.63
5,7,893.08,29.25,824,868.0,894.0,918.0,963,3.28,-0.83,8.28,4,0.09
5,8,823.6,13.6,775,814.0,824.0,833.0,871,1.65,-0.07,2.98,3,0.76
5,9,913.75,53.99,794,867.5,914.0,960.5,1030,5.91,-2.1,15.05,9,0.63
6,0,808.32,12.72,765,799.0,808.0,817.0,854,1.57,-0.7,2.68,10,0.13
6,1,949.49,22.37,889,932.0,949.0,966.0,1013,2.36,-1.79,2.18,7,5.2
6,2,884.25,28.72,816,860.0,885.0,909.0,953,3.25,0.92,8.17,9,1.06
6,3,813.08,19.84,754,799.0,812.0,826.0,884,2.44,-4.86,3.21,10,1.41
6,4,907.35,19.65,854,893.0,907.0,922.0,966,2.17,-1.45,2.68,6,4.27
6,5,872.16,25.77,811,850.0,872.0,894.0,937,2.96,-1.36,7.3,1,0.18
6,6,950.45,23.06,890,932.0,950.0,969.0,1010,2.43,2.02,5.71,10,0.48
6,7,850.7,20.82,798,835.0,849.0,865.0,918,2.45,-5.65,2.49,3,0.23
6,8,811.32,37.84,710,777.5,811.0,845.0,899,4.66,2.68,11.99,9,0.66
6,9,889.65,24.67,811,872.0,890.0,908.0,963,2.77,2.91,5.76,9,2.87
